source,target,weight
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1017/s1474747211000448,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1017/s1474747215000323,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1111/ijcs.12605,3
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1111/j.1745-6606.2010.01170.x,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1287/mnsc.2013.1849,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1002/ijfe.2005,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1016/j.econedurev.2019.101918,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1177/2047173417719555],2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.1257/jel.52.1.5,2
DOI:10.1016/j.edurev.2018.12.001,DOI:10.55951/nurture.v17i2.154],2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1016/j.socec.2019.101482,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1016/s1057-0810(99)80006-7,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1017/s1474747211000448,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1111/j.1745-6606.2010.01169.x,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1111/j.1745-6606.2010.01170.x,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1177/2319714519826651,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1257/aer.98.2.413,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1787/5k9csfs90fr4-en],2
DOI:10.1016/j.jbef.2018.05.001,"GROHMANN A, 2015, WOCHENBERICHT - DEUTSCHES INSTITUT FUR WIRTSCHAFTSFORSCHUNG/WOCHENBERICHT, V5, P407",2
DOI:10.1016/j.jbef.2018.05.001,"ISPIERTO A., 2021, FINANCIAL EDUCATION AND SAVINGS AND INVESTMENT DECISIONS: AN ANALYSIS OF THE SURVEY OF FINANCIAL COMPETENCES (ECF)",2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1016/j.pacfin.2018.01.007,2
DOI:10.1016/j.jbef.2018.05.001,DOI:10.1108/ijbm-10-2019-0356,2
DOI:10.1016/j.jbef.2018.05.001,"HAIR JF., 2010, MULTIVARIATE DATA ANALYSIS, V7TH",2
DOI:10.1016/j.jbef.2018.05.001,"POTRICH ANI CAROLINE GRIGION, 2015, REV. CONTAB. FINANÇ., V26, P362, DOI [10.1590/1808-057X201501040, 10.1590/1808-057X201501040]",2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1017/s1474747211000448,6
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1054/arth.2001.23714,3
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1093/acprof:oso/9780199696819.003.0002,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/02652320910968359,3
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/ijbm-01-2016-0012,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/mf-04-2019-0175,3
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/qrfm-04-2017-0028,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/rbf-06-2020-0141,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1111/ijcs.12605,6
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1111/j.1540-6261.2006.00883.x,3
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1111/j.1745-6606.2010.01169.x,4
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1111/j.1745-6606.2010.01170.x,8
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1177/0165025413479476,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1177/2319714519826651,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1287/mnsc.2013.1849,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.18502/kss.v3i10.3174],2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.2139/ssrn.1498674,2
DOI:10.1016/j.jbusres.2017.03.013,"HILGERT M.A., 2003, FEDERAL RESERVE BULLETIN, V89, P7",5
DOI:10.1016/j.jbusres.2017.03.013,"NOCTOR M., 1992, FINANCIAL LITERACY: A DISCUSSION OF CON- CEPTS AND COMPETENCIES OF FINANCIAL LITERACY AND OPPORTUNITIES FOR ITS INTRODUCTION INTO YOUNG PEOPLES LEARNING",2
DOI:10.1016/j.jbusres.2017.03.013,"TAFT M.K., 2013, INT J BUSINESS MANAG, V8, P63, DOI [10.5539/IJBM.V8N11P63, 10.5539/IJBM.V8N11P63%26GT;.ACCESSED:18/11/2018]",6
DOI:10.1016/j.jbusres.2017.03.013,"WIDDOWSON D., 2007, RESERVE BANK OF NEW ZEALAND BULLETIN, V70, P37",2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1016/j.joep.2015.12.006,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1016/j.pacfin.2018.01.007,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1108/ijbm-10-2018-0281,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1257/jel.52.1.5,5
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.2145/20070104,2
DOI:10.1016/j.jbusres.2017.03.013,"CONSUMER FINANCIAL PROTECTION BUREAU, 2015, MEASURING FINANCIAL",2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1007/s10834-006-9024-9,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1007/s10834-021-09798-w,2
DOI:10.1016/j.jbusres.2017.03.013,DOI:10.1016/j.heliyon.2022.e09638,3
