source,target,weight
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371","COLLOMB A., 2016, DIGIWORLD ECONOMIC JOURNAL, P93",3
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.bushor.2017.09.003,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.elerap.2017.04.004,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.future.2017.08.024,3
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.future.2017.11.022,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.telpol.2017.09.003,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1080/15228053.2016.1275242,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1108/jeim-02-2020-0044,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1108/mf-02-2017-0028,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1145/2994581,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.12695/ajtm.2017.10.1.2],2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.18559/ebr.2017.1.11],2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.2139/ssrn.2676553],2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.22215/timreview/1110,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.22215/timreview/1112,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.24840/2183-0606004.0040004,3
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.3390/fi8040049,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.3390/fi9030025,3
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.55613/jeet.v26i2.60,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371","LOW KELVIN FK, 2017, LAW INNOVATION AND TECHNOLOGY, V9, P235, DOI [10.1080/17579961.2017.1377915, 10.1080/17579961.2017.1377915]",2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371","MEDEIROS M., 2016, INTELLECTUAL PROPERTY JOURNAL, V28, P303",2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371","MILNE A., 2016, COMMUNICATIONS STRATEGIES, P145",2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371","POLLARI I, 2016, JASSA, P15",3
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1007/978-3-319-42448-4_10,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1007/978-3-319-42448-4_13,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1007/978-3-319-42448-4_14,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.bushor.2017.07.012,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.bushor.2019.01.009,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.ijinfomgt.2019.10.014,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.jii.2018.07.004,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1016/j.techfore.2020.120166,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1108/apjie-12-2017-036,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1109/bigdatacongress.2017.85,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1186/s40854-016-0034-9,4
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.1371/journal.pone.0163477,2
"ARNER DW, 2017, NW J INT LAW BUS, V37, P371",DOI:10.2308/isys-51804,2
