source,target,weight
DOI:10.1007/s42524-022-0230-4,DOI:10.1080/00207543.2018.1530476,3
DOI:10.1007/s42524-022-0230-4,DOI:10.1016/j.ijpe.2019.09.019,3
DOI:10.1007/s42524-022-0230-4,DOI:10.1016/j.ijpe.2023.108790,3
DOI:10.1007/s42524-022-0230-4,DOI:10.1080/00207543.2020.1750727,3
DOI:10.1016/j.bushor.2015.03.008,DOI:10.1111/jscm.12050,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2016.09.008,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2016.11.015,8
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2019.07.013,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.pursup.2013.06.002,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2013.858836,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2015.1030467,18
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2015.1093667,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2018.1456695,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2018.1530476,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2019.1582820,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2019.1634850,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2020.1722860,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2020.1856958,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/09537287.2020.1768450,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/13675560,27
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574091211289200,15
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600031211202472,14
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/ijlm-02-2014-0026,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/ijpdlm-01-2017-0043,16
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/jmtm-08-2019-0299,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/scm-12-2015-0482,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.0000-0000.2011.01032.x,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/jscm.12050,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.5465/amj.2011.64870145,6
DOI:10.1016/j.dss.2011.11.017,"GIANNAKIS MIHALIS, 2016, INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS, V171, P455, DOI [10.1016/J.IJPE.2015.06.032, 10.1016/J.IJPE.2015.06.032]",5
DOI:10.1016/j.dss.2011.11.017,"CHOPRA S, 2004, MIT SLOAN MANAGE REV, V46, P53",25
DOI:10.1016/j.dss.2011.11.017,"CHOPRA S, 2014, MIT SLOAN MANAGE REV, V55, P73",5
DOI:10.1016/j.dss.2011.11.017,DOI:10.1002/jbl.2001.22.issue-2,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1007/978-3-322-81251-3_3],3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.cor.2011.04.010,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ejor.2006.08.028,6
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ejor.2014.10.034,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2006.12.017,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2010.06.013,19
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ijpe.2015.10.018,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.jclepro.2008.04.020,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.jom.2003.02.003,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.jom.2009.02.001,5
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.jom.2009.07.002,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.pursup.2003.07.002],8
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.pursup.2007.01.004,9
DOI:10.1016/j.dss.2011.11.017,DOI:10.1057/palgrave.jibs.8490270,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207540500151549,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/00207543.2011.563901,8
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/09537280903453695,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/13669877.2012.666757,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/13675560500405584,11
DOI:10.1016/j.dss.2011.11.017,DOI:10.1080/13675567.2013.813443,5
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/01443570710725563,13
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574090110806262],6
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574090410700275],16
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574090510617385],18
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574090710816931,16
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09574090910954864,15
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030410545436,20
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030410545454,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030410545463,24
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030410567478,9
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030810866986,21
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/09600030910996251,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1108/13598541211246558,17
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.1540-5915.2007.00151.x,11
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.1745-493x.2010.03206.x,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.1937-5956.2005.tb00008.x,10
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.1937-5956.2005.tb00009.x,22
DOI:10.1016/j.dss.2011.11.017,DOI:10.1111/j.1937-5956.2011.01251.x,19
DOI:10.1016/j.dss.2011.11.017,DOI:10.4018/jisscm.2009010102,8
DOI:10.1016/j.dss.2011.11.017,"SHEFFI Y, 2005, MIT SLOAN MANAGE REV, V47, P41",9
DOI:10.1016/j.dss.2011.11.017,"BAKSHI N, 2009, PROD OPER MANAG, V18, P583, DOI [10.1111/J.1937-5956.2009.01031.X, 10.3401/POMS.1080.01031]",4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1002/aic.11764,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1002/j.2158-1592.2008.tb00081.x,20
DOI:10.1016/j.dss.2011.11.017,DOI:10.1002/nav.20179,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.cie.2013.09.018,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.compind.2005.11.001,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.compind.2009.09.008,7
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.compind.2013.04.011,4
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.cor.2012.08.016,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ejor.2009.01.026,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ejor.2010.03.041,3
DOI:10.1016/j.dss.2011.11.017,DOI:10.1016/j.ejor.2012.12.017,4
