source,target,weight
DOI:10.1007/s11227-025-07047-7,DOI:10.1038/nature23474,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1038/ncomms5213,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1038/s41586-019-1666-5,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1080/00107514.2019.1667078,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1103/physrevlett.103.150502,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1103/revmodphys.94.015004,2
DOI:10.1007/s11227-025-07047-7,DOI:10.1145/3505636,2
DOI:10.1007/s11227-025-07047-7,DOI:10.22331/q-2018-08-06-79,3
DOI:10.1007/s11227-025-07047-7,DOI:10.1126/science.abb2823,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1016/j.jmr.2004.11.004,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1016/j.physrep.2022.08.003,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1038/nature23879,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1038/ncomms5213,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1038/s41586-019-1666-5,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1063/1.5089550,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1080/00107514.2019.1667078,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1098/rspa.1985.0070,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/physreva.52.r2493,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/physrevlett.103.150502,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/revmodphys.86.153,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/revmodphys.87.307,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/revmodphys.94.015004,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1126/science.aam9288,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1140/epjd/e2015-60464-1,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.22331/q-2018-08-06-79,4
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1038/s41598-019-47174-9,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1088/2058-9565/aab822,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.22331/q-2018-01-31-49,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1016/j.cpc.2012.11.019,2
DOI:10.1016/j.cpc.2012.02.021,"DIMITROV M., 2015, INTEL POWER GOVERNOR",2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1007/978-90-481-3065-8,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1007/bf02650179,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1007/s11128-021-03021-3,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1007/s11227-017-2120-9,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1007/s42979-021-00508-9,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1016/j.scib.2018.06.007,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1017/cbo9780511976667,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1021/acs.jctc.8b01239,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1038/s41586-019-0980-2,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1088/1742-6596/574/1/012127,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/physreva.103.042603,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/physrevlett.79.325,3
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/iccd.2015.7357115,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/icsa-c52384.2021.00025,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/icsa-c52384.2021.00027,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/saahpc.2012.26,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/sc.2016.73,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/tcad.2018.2834427,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1109/tmm.2019.2916462,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1145/3126908.3126947,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1145/3310273.3323053,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1145/3445814.3446718,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1145/3445814.3446743,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1145/3445814.3446750,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.23919/date.2017.7927034,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.4230/lipics.ccc.2017.22,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.48550/arxiv.1402.4467],2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.48550/arxiv.1710.05867],2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.48550/arxiv.1807.10749],2
DOI:10.1016/j.cpc.2012.02.021,"SHI A., 2019, RECURSIVE PATH SUMMING SIMULATION OF QUANTUM COMPUTATION",2
DOI:10.1016/j.cpc.2012.02.021,"SHI AD, 2017, ARXIV, DOI ARXIV:1710.09364",2
DOI:10.1016/j.cpc.2012.02.021,"SHOR PW, 1997, SIAM J COMPUT, V26, P1484, DOI [10.1137/S0097539795293172, 10.1137/S0036144598347011]",3
DOI:10.1016/j.cpc.2012.02.021,"SMELYANSKIY M, 2016, ARXIV, DOI ARXIV:1601.07195",2
DOI:10.1016/j.cpc.2012.02.021,"[ANONYMOUS], 2016, ACM IEEE INT C FORM",2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1103/physrevlett.127.180501,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1126/science.273.5278.1073,2
DOI:10.1016/j.cpc.2012.02.021,DOI:10.1137/s0097539796300921,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1016/j.physrep.2022.08.003,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1038/nature23879,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1038/s41586-019-1666-5,3
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1063/1.5089550,3
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1080/00107514.2019.1667078,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1098/rspa.1985.0070,3
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physreva.52.r2493,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physrevlett.103.150502,4
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physrevlett.113.130503,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/revmodphys.86.153,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/revmodphys.87.307,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/revmodphys.94.015004,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1140/epjd/e2015-60464-1,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.22331/q-2018-08-06-79,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1007/bf01011339,3
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1007/bf02650179,3
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1016/s0167-2789(98)00046-3,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1016/s0375-9601(02)01479-2,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1017/cbo9780511976667,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1063/1.5088164,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1098/rspa.1989.0099,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1098/rspa.1992.0167,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physicsphysiquefizika.1.195],2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physreva.88.022305,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physrevlett.110.190501,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1103/physrevlett.79.325,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1126/science.1057726,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1126/science.273.5278.1073,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1137/s0097539796298637,2
DOI:10.1016/j.jmr.2004.11.004,DOI:10.1137/s0097539796300921,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1016/j.physrep.2024.03.002,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/nature07127,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/nature23474,5
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/nature23879,11
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/ncomms5213,15
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/s41467-018-07090-4,6
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/s41467-020-14454-2,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/s41567-019-0648-8,4
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/s41586-019-1666-5,8
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1063/1.5089550,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1080/00107514.2019.1667078,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1098/rspa.1985.0070,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physreva.52.r2493,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physreva.57.127,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physreva.59.4249,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physreve.58.5355,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physrevlett.103.150502,5
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/physrevlett.119.180509,7
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/prxquantum.2.040337,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/revmodphys.86.153,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/revmodphys.87.307,3
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/revmodphys.93.025001,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1103/revmodphys.94.015004,8
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1126/science.1113479,5
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1126/science.aam9288,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1140/epjd/e2015-60464-1,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1145/3297858.3304075,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1145/3352460.3358287,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.22331/q-2018-08-06-79,14
DOI:10.1016/j.physrep.2022.08.003,DOI:10.22331/q-2021-04-15-433,2
DOI:10.1016/j.physrep.2022.08.003,"KJAERGAARD MORTEN, SUPERCONDUCTING QUBI",4
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1016/s0003-4916(02)00018-0,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/299802a0,2
DOI:10.1016/j.physrep.2022.08.003,DOI:10.1038/s41467-022-35364-5,2
