source,target,weight
DOI:10.1038/nature17946,DOI:10.1126/science.1231143,41
DOI:10.1038/nature17946,DOI:10.7554/elife.00471,9
DOI:10.1038/nature17946,"CHAVEZ A, 2015, NAT METHODS, V12, P326, DOI [10.1038/NMETH.3312, 10.1038/NMETH.3312]",5
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2013.02.022,17
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2013.06.044,14
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2014.09.029,5
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2014.09.039,8
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2015.02.038,5
DOI:10.1038/nature17946,DOI:10.1016/j.cell.2015.12.035,6
DOI:10.1038/nature17946,DOI:10.1016/j.jgg.2013.12.001,4
DOI:10.1038/nature17946,DOI:10.1016/j.molp.2015.04.007,4
DOI:10.1038/nature17946,DOI:10.1016/j.molp.2016.04.009,4
DOI:10.1038/nature17946,DOI:10.1038/cr.2013.123,4
DOI:10.1038/nature17946,DOI:10.1038/nature14136,7
DOI:10.1038/nature17946,DOI:10.1038/nature17664,8
DOI:10.1038/nature17946,DOI:10.1038/nbt.2650,10
DOI:10.1038/nature17946,DOI:10.1038/nbt.2655,5
DOI:10.1038/nature17946,DOI:10.1038/nbt.2808,16
DOI:10.1038/nature17946,DOI:10.1038/nbt.2908,9
DOI:10.1038/nature17946,DOI:10.1038/nbt.2969,8
DOI:10.1038/nature17946,DOI:10.1038/nbt.3190,10
DOI:10.1038/nature17946,DOI:10.1038/nbt.3199,12
DOI:10.1038/nature17946,DOI:10.1038/nbt.3389,8
DOI:10.1038/nature17946,DOI:10.1038/nmeth.3630,6
DOI:10.1038/nature17946,DOI:10.1073/pnas.1208507109,8
DOI:10.1038/nature17946,DOI:10.1073/pnas.1313587110,10
DOI:10.1038/nature17946,DOI:10.1073/pnas.1420294112,7
DOI:10.1038/nature17946,DOI:10.1093/mp/sst119,4
DOI:10.1038/nature17946,DOI:10.1093/mp/sst121,4
DOI:10.1038/nature17946,DOI:10.1093/nar/gkt780,4
DOI:10.1038/nature17946,DOI:10.1093/nar/gku806,4
DOI:10.1038/nature17946,DOI:10.1104/pp.114.247577,5
DOI:10.1038/nature17946,DOI:10.1104/pp.15.00636,4
