source,target,weight
DOI:10.1002/bse.2513,DOI:10.1016/j.ecolecon.2017.08.001,22
DOI:10.1002/bse.2513,DOI:10.1016/j.ecolecon.2018.04.028,30
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2017.12.111,4
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.126002,15
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2022.131389,11
DOI:10.1002/bse.2513,DOI:10.1016/j.jenvman.2018.09.095,3
DOI:10.1002/bse.2513,DOI:10.1016/j.procir.2017.03.005,11
DOI:10.1002/bse.2513,DOI:10.1016/j.procir.2018.04.011,7
DOI:10.1002/bse.2513,DOI:10.1080/00207543.2017.1402141,20
DOI:10.1002/bse.2513,DOI:10.1080/09537287.2018.1449265,12
DOI:10.1002/bse.2513,DOI:10.1080/21681015.2016.1172124,9
DOI:10.1002/bse.2513,DOI:10.1108/jeim-02-2019-0047,15
DOI:10.1002/bse.2513,DOI:10.1108/scm-06-2018-0213,3
DOI:10.1002/bse.2513,"KIRCHHERR J, 2017, RESOUR CONSERV RECY, V127, P221, DOI [10.33002/NR2581.6853.070207, 10.1016/J.RESCONREC.2017.09.005]",14
DOI:10.1002/bse.2513,"PRESTON F., 2012, GLOBAL REDESIGN SHAP",6
DOI:10.1002/bse.2513,DOI:10.1002/bsd2.171,5
DOI:10.1002/bse.2513,DOI:10.1002/bse.2590,3
DOI:10.1002/bse.2513,DOI:10.1002/bse.2970,5
DOI:10.1002/bse.2513,DOI:10.1002/tie.21883,4
DOI:10.1002/bse.2513,DOI:10.1016/j.biortech.2020.123018,3
DOI:10.1002/bse.2513,DOI:10.1016/j.clrc.2023.100107,5
DOI:10.1002/bse.2513,DOI:10.1016/j.jbusres.2022.05.036,4
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2017.09.047,8
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2017.11.111,5
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2019.118160,11
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2019.118609,8
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2020.120859,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2020.123086,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2020.125033,9
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2020.125492,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.126241,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.126253,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.127670,10
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2023.137176,4
DOI:10.1002/bse.2513,DOI:10.1016/j.jenvman.2020.110416,7
DOI:10.1002/bse.2513,DOI:10.1016/j.resconrec.2020.105215,4
DOI:10.1002/bse.2513,DOI:10.1016/j.resconrec.2023.107001,7
DOI:10.1002/bse.2513,DOI:10.1038/531435a,3
DOI:10.1002/bse.2513,DOI:10.1155/2018/3696457,3
DOI:10.1002/bse.2513,DOI:10.3390/en14082219,3
DOI:10.1002/bse.2513,DOI:10.3390/su12166358,3
DOI:10.1002/bse.2513,DOI:10.1002/bse.2641,4
DOI:10.1002/bse.2513,DOI:10.1002/bse.2670,3
DOI:10.1002/bse.2513,DOI:10.1002/bse.2717,6
DOI:10.1002/bse.2513,DOI:10.1002/bse.3114,3
DOI:10.1002/bse.2513,DOI:10.1002/sd.2100,3
DOI:10.1002/bse.2513,DOI:10.1002/sd.3088,3
DOI:10.1002/bse.2513,DOI:10.1007/s10098-021-02129-5,3
DOI:10.1002/bse.2513,DOI:10.1007/s43615-021-00090-5,3
DOI:10.1002/bse.2513,DOI:10.1016/j.ecolecon.2017.06.041,8
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2011.06.010,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2016.12.048,16
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2019.118360,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2020.120728,6
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.128158,5
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2021.130049,9
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2022.132618,3
DOI:10.1002/bse.2513,DOI:10.1016/j.jclepro.2023.136133,5
DOI:10.1002/bse.2513,DOI:10.1016/j.resconrec.2017.10.034,7
DOI:10.1002/bse.2513,DOI:10.1016/j.resconrec.2019.104480,4
DOI:10.1002/bse.2513,DOI:10.1016/j.susoc.2021.09.003],3
DOI:10.1002/bse.2513,DOI:10.1080/09537287.2019.1695006,5
DOI:10.1002/bse.2513,DOI:10.1108/md-09-2018-1070,13
DOI:10.1002/bse.2513,DOI:10.1108/md-11-2018-1178,12
DOI:10.1002/bse.2513,DOI:10.1108/scm-10-2018-0345,6
DOI:10.1002/bse.2513,DOI:10.1111/j.1530-9290.2011.00332.x,3
DOI:10.1002/bse.2513,DOI:10.1111/jiec.12603,5
DOI:10.1002/bse.2513,DOI:10.3390/app11083335,3
DOI:10.1002/bse.2513,DOI:10.3390/buildings13112778,3
DOI:10.1002/bse.2513,DOI:10.3390/su132112246,3
DOI:10.1002/bse.2513,DOI:10.1002/(sici)1097-0266(199708)18:7<509::aid-smj882>3.0.co;2-z,3
DOI:10.1002/bse.2513,DOI:10.1002/bse.2447,5
DOI:10.1002/bse.2513,DOI:10.1002/bse.2472,3
DOI:10.1002/bse.2513,DOI:10.1002/bse.2884,4
DOI:10.1002/bse.2513,DOI:10.1002/csr.1761,3
