source,target,weight
DOI:10.1007/s10796-017-9774-y,DOI:10.2307/30036540,7
DOI:10.1007/s10796-017-9774-y,"VENKATESH V, 2012, MIS QUART, V36, P157",4
DOI:10.1007/s10796-017-9774-y,DOI:10.2307/3150980,3
DOI:10.1007/s10796-017-9774-y,"HAIR JF., 2010, MULTIVARIATE DATA ANALYSIS, V7TH",3
DOI:10.1016/j.compedu.2016.06.002,DOI:10.1016/j.compedu.2016.11.003,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1287/isre.3.1.60,8
DOI:10.1080/07421222.2003.11045748,DOI:10.1561/2900000005],3
DOI:10.1080/07421222.2003.11045748,DOI:10.2307/30036540,8
DOI:10.1080/07421222.2003.11045748,"VENKATESH V, 2012, MIS QUART, V36, P157",3
DOI:10.1080/07421222.2003.11045748,DOI:10.1007/s11747-014-0403-8,6
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.chb.2015.11.036,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.chb.2016.06.020,4
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.chb.2019.08.004,4
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.compedu.2006.11.007,5
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.compedu.2011.10.014,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.compedu.2017.12.001,6
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.cose.2014.10.015,4
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.eswa.2012.03.028,4
DOI:10.1080/07421222.2003.11045748,DOI:10.1108/10662241011020833,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1287/mnsc.35.8.982,4
DOI:10.1080/07421222.2003.11045748,DOI:10.2307/249688,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1057/ejis.2008.15,4
DOI:10.1080/07421222.2003.11045748,DOI:10.1108/ebr-11-2018-0203,3
DOI:10.1080/07421222.2003.11045748,"SHAHZAD ARFAN, 2021, QUAL QUANT, V55, P805, DOI [10.1007/S11135-020-01028-Z, 10.1007/S11135-020-01028-Z]",3
DOI:10.1080/07421222.2003.11045748,"CHIN WW, 1998, QUANT METH SER, P295",6
DOI:10.1080/07421222.2003.11045748,"DHAWAN SHIVANGI, 2020, JOURNAL OF EDUCATIONAL TECHNOLOGY SYSTEMS, V49, P5, DOI [10.1177/0047239520934018, 10.1177/0047239520934018]",4
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.chb.2014.07.044,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.compedu.2004.10.007,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.compedu.2009.09.002,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.tele.2018.03.012,4
DOI:10.1080/07421222.2003.11045748,DOI:10.2307/3150980,7
DOI:10.1080/07421222.2003.11045748,DOI:10.2307/3250921,6
DOI:10.1080/07421222.2003.11045748,"HAIR JF., 2010, MULTIVARIATE DATA ANALYSIS, V7TH",4
DOI:10.1080/07421222.2003.11045748,DOI:10.1007/s11423-016-9508-8,3
DOI:10.1080/07421222.2003.11045748,DOI:10.1016/j.ijinfomgt.2018.05.005,3
DOI:10.1080/07421222.2003.11045748,DOI:10.2753/mtp1069-6679190202,3
