source,target,weight
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s10565-013-9265-y,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s42452-019-1352-0,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2017.11.076,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2019.01.056,22
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2013.02.031,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2019.113024,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2019.113122,14
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envres.2017.08.043,26
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2018.12.048,12
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2019.121575,19
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.marenvres.2015.06.014,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.marpolbul.2011.05.030,15
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.marpolbul.2011.09.025,11
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2018.03.051,23
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2018.08.353,29
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2019.05.071,24
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2019.133794,24
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2019.134455,27
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2020.138180,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.tiv.2019.104610,17
DOI:10.1007/s00204-019-02478-7,DOI:10.1021/acs.est.6b00183,23
DOI:10.1007/s00204-019-02478-7,DOI:10.1021/acs.est.9b03191,13
DOI:10.1007/s00204-019-02478-7,DOI:10.1021/acs.estlett.7b00187,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1021/acsnano.8b01331,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1038/srep46687,29
DOI:10.1007/s00204-019-02478-7,DOI:10.1039/c6ay02558g,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1057/s41599-018-0212-7,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1071/en14167,13
DOI:10.1007/s00204-019-02478-7,DOI:10.1080/17435390.2019.1640913,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1126/sciadv.1700782,19
DOI:10.1007/s00204-019-02478-7,DOI:10.1126/science.1094559,15
DOI:10.1007/s00204-019-02478-7,DOI:10.1371/journal.pone.0194970,18
DOI:10.1007/s00204-019-02478-7,DOI:10.3389/fchem.2018.00407,17
DOI:10.1007/s00204-019-02478-7,DOI:10.3390/ijerph17051509,10
DOI:10.1007/s00204-019-02478-7,DOI:10.3390/nano9091299,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1002/etc.3501,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1002/tox.22885,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1002/tox.23095,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s00128-021-03180-0,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s00204-020-02805-3,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s11356-018-3508-7,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1007/s40572-018-0206-z,13
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.aquatox.2017.11.017,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2018.11.070,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2019.125492,23
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2020.126788,9
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2020.127204,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.chemosphere.2020.128330,9
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.coesh.2017.10.003,13
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.ebiom.2022.104147,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.ecoenv.2019.110133,18
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.ecoenv.2021.112012,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.ecoenv.2021.112837,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.ecoenv.2022.113238,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envint.2020.106274,22
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envint.2022.107199,16
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envint.2022.107223,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2017.11.043,20
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2018.02.069,12
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2020.114158,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2020.115025,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.envpol.2021.117006,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.fct.2022.112904,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2020.123430,11
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2020.124004,11
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2020.124028,10
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2021.126069,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2021.126124,16
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2021.127629,8
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2021.127815,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2022.128431,6
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.jhazmat.2022.129439,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.marenvres.2016.07.004,11
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.neuro.2020.10.008,7
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.redox.2020.101620,5
DOI:10.1007/s00204-019-02478-7,DOI:10.1016/j.scitotenv.2019.01.245,13
