source,target,weight
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.jtrangeo.2008.12.002,4
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.jtrangeo.2011.04.005,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.techsoc.2005.10.007,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.tranpol.2007.10.002,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.cstp.2019.03.004,3
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.tranpol.2007.04.009,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.tranpol.2007.10.005,6
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1080/01944365908978307,7
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1080/13658810902835404,4
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1080/15568318.2010.494231,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.3141/1604-07,3
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.3311/pptr.12072,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.5038/2375-0901.10.3.2],2
DOI:10.1016/j.jtrangeo.2003.10.005],"EBOLI L, 2012, EUR TRANSP",2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/j.jtrangeo.2011.10.001,4
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/s0277-9536(01)00212-x,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1016/s1361-9209(98)00010-8,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1061/(asce)0733-9488(2002)128:4(225),2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1068/b33043,3
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.1080/13658810802646679,2
DOI:10.1016/j.jtrangeo.2003.10.005],DOI:10.3141/1835-05,3
