source,target,weight
DOI:10.1007/s10551-010-0688-6,DOI:10.5465/amr.1979.4498296,6
DOI:10.1007/s10551-010-0688-6,DOI:10.5465/amr.2001.4011987,5
DOI:10.1007/s10551-010-0688-6,"FREEMAN R.E., 1984, STRATEGIC MANAGEMENT: A STAKEHOLDER APPROACH",7
DOI:10.1007/s10551-010-0688-6,DOI:10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g,5
DOI:10.1007/s11747-010-0214-5,DOI:10.1016/j.aos.2007.05.003,7
DOI:10.1007/s11747-010-0214-5,DOI:10.1016/0361-3682(92)90015-k,5
DOI:10.1007/s11747-010-0214-5,DOI:10.2308/accr-10218,5
DOI:10.1007/s11747-010-0214-5,DOI:10.2308/accr.00000005,5
DOI:10.1007/s11747-010-0214-5,DOI:10.1007/s10551-012-1336-0,6
DOI:10.1007/s11747-010-0214-5,DOI:10.2307/1879431,5
DOI:10.1007/s11747-010-0214-5,DOI:10.1007/s10551-008-9968-9,5
DOI:10.1007/s11747-010-0214-5,DOI:10.1016/j.accfor.2011.06.007,5
DOI:10.1007/s11747-010-0214-5,DOI:10.5465/amr.2007.25275684,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.aos.2007.05.003,11
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/s0165-4101(01)00018-0,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/s0361-3682(02)00028-4,8
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/s0361-3682(03)00032-1,10
DOI:10.1016/0361-3682(82)90025-3,DOI:10.2307/258135,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.aos.2006.09.009,7
DOI:10.1016/0361-3682(82)90025-3,DOI:10.2307/2490597,7
DOI:10.1016/0361-3682(82)90025-3,DOI:10.2308/accr.00000005,10
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/0361-3682(92)90015-k,8
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/s0278-4254(01)00031-x,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/s0361-3682(97)00008-1,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1080/00014788.1996.9729510,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1080/0963818042000339617,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1177/0148558x9901400403,5
DOI:10.1016/0361-3682(82)90025-3,"FREEMAN R.E., 1984, STRATEGIC MANAGEMENT: A STAKEHOLDER APPROACH",5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/0304-405x(76)90026-x,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/0361-3682(84)90007-2,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/0361-3682(92)90042-q,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.aos.2006.03.001,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.jaccpubpol.2004.12.007,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.jaccpubpol.2005.06.001],7
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1080/00014788.1989.9728863],6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/02686901011054881,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/09513579510146996],11
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/09513579610109987],8
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/14720700710756535,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1177/0007650305281658,5
DOI:10.1016/0361-3682(82)90025-3,"GUTHRIE J., 1990, ADV PUBLIC INTEREST, V3, P159",5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1002/csr.1410,8
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/maj-07-2012-0729,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.5465/amr.2007.25275684,7
DOI:10.1016/0361-3682(82)90025-3,DOI:10.5465/amr.2008.31193458,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/09513570210418905],5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1108/09513570210435852,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1016/j.jclepro.2008.10.001,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1002/bse.729,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.2308/accr-10218,6
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1007/s10551-007-9658-z,5
DOI:10.1016/0361-3682(82)90025-3,DOI:10.1007/s10551-012-1336-0,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.aos.2009.10.002,10
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.tourman.2010.06.019,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/s0165-4101(01)00018-0,15
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/s0361-3682(02)00028-4,22
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/s0361-3682(03)00032-1,26
DOI:10.1016/j.aos.2007.05.003,DOI:10.1111/j.1467-6281.2011.00330.x,8
DOI:10.1016/j.aos.2007.05.003,DOI:10.1111/j.1530-9134.2010.00282.x,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.2307/2491273,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.2307/258135,9
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/amr.1979.4498296,8
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g,17
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/smj.2131,18
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/0304-405x(76)90026-x,18
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.acclit.2015.03.001,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jacceco.2008.02.003,6
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jacceco.2015.03.001,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jaccpubpol.2012.10.005,11
DOI:10.1016/j.aos.2007.05.003,DOI:10.1108/09513579610109987],8
DOI:10.1016/j.aos.2007.05.003,DOI:10.1111/j.1467-8683.2008.00678.x,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1287/mnsc.2014.1984,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.2307/20159168,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.2307/258852,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.2308/accr-10209,12
DOI:10.1016/j.aos.2007.05.003,DOI:10.2308/accr-10218,23
DOI:10.1016/j.aos.2007.05.003,DOI:10.2308/accr-50544,6
DOI:10.1016/j.aos.2007.05.003,DOI:10.2308/accr.00000005,36
DOI:10.1016/j.aos.2007.05.003,DOI:10.32591/coas.ojss.0201.04037b,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/256210,11
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/256977,6
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/amr.2001.4011987,13
DOI:10.1016/j.aos.2007.05.003,"PORTER ME, 2006, HARVARD BUS REV, V84, P78",10
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/(sici)1097-0266(200005)21:5<603::aid-smj101>3.3.co;2-v,11
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/bse.643,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/csr.1410,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1002/smj.820,8
DOI:10.1016/j.aos.2007.05.003,DOI:10.1007/s10551-007-9658-z,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/0278-4254(91)90003-3,9
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/0361-3682(92)90015-k,14
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.aos.2006.09.009,24
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.aos.2011.12.001,10
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.bar.2004.10.003,9
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jaccpubpol.2004.12.007,6
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jaccpubpol.2005.06.001],14
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/j.jaccpubpol.2013.06.008,8
DOI:10.1016/j.aos.2007.05.003,DOI:10.1016/s0278-4254(01)00031-x,10
DOI:10.1016/j.aos.2007.05.003,DOI:10.1080/00014788.1996.9729510,9
DOI:10.1016/j.aos.2007.05.003,DOI:10.1080/09638180.2015.1064009,6
DOI:10.1016/j.aos.2007.05.003,DOI:10.1108/09513570210418905],6
DOI:10.1016/j.aos.2007.05.003,DOI:10.1108/09513570210435861,5
DOI:10.1016/j.aos.2007.05.003,DOI:10.1111/1468-5957.00376,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.1177/0170840603024003910,17
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/255956,7
DOI:10.1016/j.aos.2007.05.003,DOI:10.5465/amj.2014.0847,5
DOI:10.1016/j.aos.2007.05.003,"WU M., 2006, J AM ACAD BUSINESS, V8, P163",5
