source,target,weight
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]","CHENG R, 1996, GENETIC ALGORITHMS S, P683",2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1007/s11750-012-0266-4,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.apenergy.2016.02.111,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.cor.2008.09.010,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.cor.2011.08.013,3
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.energy.2016.04.080,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.engappai.2009.09.001,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.enpol.2011.01.063,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.enpol.2012.11.030,2
"AFSHAR-BAKESHLOO M., 2016, JOURNAL OF INDUSTRIAL ENGINEERING INTERNATIONAL, V12, P529, DOI [10.1007/S40092-016-0163-9, 10.1007/S40092-016-0163-9]",DOI:10.1016/j.jclepro.2017.10.001,2
