source,target,weight
DOI:10.1007/978-3-030-00353-1_6,DOI:10.14743/apem2018.3.293,2
DOI:10.1007/978-3-030-00353-1_6,DOI:10.1016/j.jfoodeng.2006.05.029,2
DOI:10.1007/978-3-030-00353-1_6,DOI:10.1080/00207543.2019.1640407,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ajsl.2022.05.002,2
DOI:10.1007/s10479-009-0614-4,DOI:10.14743/apem2018.3.293,4
DOI:10.1007/s10479-009-0614-4,DOI:10.22068/ijiepr.31.2.231,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1007/s00500-019-04497-z,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1007/s11590-012-0540-2,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2006.10.005,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2015.05.010,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2016.07.022,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2016.12.019,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cor.2014.01.013,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cor.2016.02.003,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.foodcont.2013.11.016,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijpe.2012.03.005,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijpe.2013.12.028,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijpe.2015.03.008,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.jclepro.2017.05.113,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.jfoodeng.2006.05.029,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.jmsy.2016.10.004,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.omega.2018.01.006,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.rtbm.2020.100552,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.seps.2017.12.004,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.tre.2015.12.005,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.tre.2020.101964,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1108/jm2-05-2018-0064,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1108/jm2-09-2019-0230,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1155/2014/537409,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1287/opre.34.1.75,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1287/opre.35.2.254,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1287/trsc.2013.0472,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1287/trsc.2017.0799,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2013.11.006,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2020.106341,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cor.2007.02.012,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cor.2008.09.010,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ejor.2006.02.019,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ejor.2009.06.034,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.foodcont.2018.02.030,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijpe.2009.11.026,4
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijpe.2011.05.015,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.jfoodeng.2015.08.027,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.tifs.2016.11.016,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/s0260-8774(00)00187-4,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1108/ijlm-01-2017-0002,3
DOI:10.1007/s10479-009-0614-4,DOI:10.1108/imds-04-2015-0151,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1108/imds-07-2018-0314,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1287/mnsc.6.1.80,2
DOI:10.1007/s10479-009-0614-4,"LIU QIANG, 2008, INTERNATIONAL JOURNAL ON INFORMATION AND MANAGEMENT SCIENCES, V19, P673",2
DOI:10.1007/s10479-009-0614-4,DOI:10.1007/bf02022044,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1007/s10700-012-9131-z,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.cie.2009.05.009,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.ijrefrig.2006.03.017,2
DOI:10.1007/s10479-009-0614-4,DOI:10.1016/j.jfoodeng.2007.07.008,2
