source,target,weight
"ALVES RG, 2019, IEEE GLOB HUMANIT C, P110, DOI [10.1109/GHTC46095.2019.9033075, 10.1109/GHTC46095.2019.9033075]",DOI:10.1016/j.agsy.2020.103046,2
"ALVES RG, 2019, IEEE GLOB HUMANIT C, P110, DOI [10.1109/GHTC46095.2019.9033075, 10.1109/GHTC46095.2019.9033075]",DOI:10.1016/j.atech.2022.100094,2
"ALVES RG, 2019, IEEE GLOB HUMANIT C, P110, DOI [10.1109/GHTC46095.2019.9033075, 10.1109/GHTC46095.2019.9033075]",DOI:10.1016/j.compag.2020.105942,2
"ALVES RG, 2019, IEEE GLOB HUMANIT C, P110, DOI [10.1109/GHTC46095.2019.9033075, 10.1109/GHTC46095.2019.9033075]",DOI:10.3390/agronomy10020207,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]",DOI:10.1016/j.agsy.2020.103046,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]",DOI:10.1016/j.compag.2015.08.011,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]",DOI:10.1016/s0168-1699(02)00096-0,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]",DOI:10.1145/3265689.3265692,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]",DOI:10.3390/s17081781,2
"ATZORI L, 2010, COMPUT NETW, V54, P2787, DOI [10.1016/J.COMNET.2010.05.010, 10.1016/J.YPMED.2020.106275]","MEKALA MS, 2017, 2017 INTERNATIONAL CONFERENCE ON MICROELECTRONIC DEVICES, CIRCUITS AND SYSTEMS (ICMDCS)",2
DOI:10.1002/9781119769231.ch11,DOI:10.1016/j.compag.2022.107096,2
DOI:10.1002/9781119769231.ch11,DOI:10.3390/agriculture13081593,2
DOI:10.1016/j.agsy.2017.01.023,DOI:10.1016/j.compag.2022.107096,3
DOI:10.1016/j.agsy.2017.01.023,DOI:10.1136/bmj.n71,2
DOI:10.1016/j.agsy.2017.01.023,DOI:10.1149/2.0222003jes,2
DOI:10.1016/j.agsy.2017.01.023,DOI:10.3390/agriculture13081593,2
